Veloc   Grupo
850 1 
1000 1 
740 1 
980 1 
900 1
930 1 
1070 1 
650 1 
930 1 
760 1
850 1 
810 1 
950 1 
1000 1 
980 1
1000 1 
980 1 
960 1 
880 1
960 1
960 2
830 2
940 2
790 2
960 2
810 2
940 2
880 2
880 2
880 2
800 2
830 2
850 2
800 2
880 2
790 2
900 2
760 2
840 2
800 2
880 3 
880 3
880 3
910 3
880 3
850 3
860 3
870 3
720 3
840 3
720 3
840 3
620 3
850 3
860 3
840 3
970 3
840 3
950 3
840 3
890 4
910 4
810 4
920 4
810 4
890 4
820 4
860 4
800 4
880 4
770 4
720 4
760 4
840 4
740 4
850 4
750 4
850 4
760 4
780 4
890 5
910 5 
810 5
920 5
810 5
890 5
820 5
860 5
800 5
880 5
770 5
720 5
760 5
840 5
740 5
850 5
750 5
850 5
760 5
780 5
